"source_id","source_topic","source_prompt","destination_deck","action","merge_group","rationale","evidence"
"1","Functions","What keyword is used to define all functions in Mojo?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/functions — confirmed unchanged: `def` declares all functions. changed: `fn` is deprecated, so the card must not present it as an alternative."
"2","Variables & Types","How do you declare a mutable variable vs a compile-time constant?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"3","Value Ownership","What are the six argument conventions in Mojo?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Replace __del__ with __deinit__ and final imm terminology.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"4","Value Ownership","How do you explicitly copy memory vs transfer ownership (move)?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"5","Functions","What is the syntax difference between compile-time parameters and runtime arguments?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"6","Structs","What are the core differences between a 'struct' and a Python 'class'?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"7","Structs","What is the purpose of the 'out self' parameter in a struct's __init__ method?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"8","Traits & Generics","How do you define an interface to enforce static polymorphism?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
"9","Pointers","What is UnsafePointer and how do you access its pointee?","Mojo 1.0 Advanced Language & Systems","Rewrite","","UnsafePointer was unified into Pointer; teach operation-level unsafety.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"10","Python Interop","How do you import and use an existing Python module?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/python/"
"11","Modules & Imports","What is the syntax for importing native Mojo modules?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/packages — confirmed unchanged: `import` / `from ... import` syntax. Packaging *commands* changed but are separate cards."
"12","Control Flow & Errors","How do you declare and handle a function that can throw an error?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"13","Control Flow & Errors","What is the syntax for standard 'for' and 'while' loops?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"14","Value Lifecycle","How do you define the logic for explicit '.copy()' calls?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Update lifecycle examples and remove beta-era UnsafePointer spellings.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"15","Value Lifecycle","How do you define a consuming move constructor for a struct?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Update move initializer and pointer examples to final 1.0.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"16","Value Lifecycle","Which dunder method acts as a destructor to free manual resources?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Destructor spelling is __deinit__.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"17","Compile-Time Metaprogramming","How do you execute conditional logic at compile-time?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"18","Traits & Generics","How do you define a generic struct that takes a type parameter?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Replace old CollectionElement/ImplicitlyDestructible bounds with final traits.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
"19","Functions","How do you implement function overloading in Mojo?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"20","Control Flow & Errors","How do you implement a context manager struct and use it with 'with'?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"21","Variables & Types","How do you create a compile-time constant for complex or repeated types?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/metaprogramming/comptime-evaluation — confirmed unchanged: card already teaches `comptime`, not `alias`."
